year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,awards,diff_fgm,diff_fga,diff_ftm,diff_fta,diff_3pm,diff_3pa,diff_oreb,diff_dreb,diff_reb,diff_asts,diff_pf,diff_stl,diff_to,diff_blk,diff_pts,diff_tmORB,diff_tmDRB,diff_tmTRB,diff_won,diff_homeW,diff_awayW,diff_confW,diff_W,mean_diff_fgm,mean_diff_fga,mean_diff_ftm,mean_diff_fta,mean_diff_3pm,mean_diff_3pa,mean_diff_oreb,mean_diff_dreb,mean_diff_reb,mean_diff_asts,mean_diff_pf,mean_diff_stl,mean_diff_to,mean_diff_blk,mean_diff_pts,mean_diff_tmORB,mean_diff_tmDRB,mean_diff_tmTRB,mean_diff_won,mean_diff_homeW,mean_diff_awayW,mean_diff_confW,mean_diff_W,next_year_playoff
8,WNBA,CHI,CHI,EA,,6,0,0,,,,Chicago Sky,925,2277,489,723,186,544,383,782,1165,597,634,262,510,112,2525,963,2243,501,642,184,481,379,846,1225,584,683,242,566,138,2611,0,0,0,0,0,0,14,20,34,6,11,8,9,6,14,6972,66557,UIC Pavilion,0.0,0.0,1,-38,34,-12,81,2,63,4,-64,-60,13,-49,20,-56,-26,-86,0,0,0,-6,-5,-1,-8,0.0,-63.0,32.0,-40.0,23.0,-13.0,42.0,-4.666666666666667,-102.66666666666667,-107.33333333333333,-29.333333333333332,-2.6666666666666665,18.333333333333332,-40.0,-15.666666666666666,-179.0,0.0,0.0,0.0,-12.0,-7.0,-5.0,-9.333333333333334,0.0,0.0
9,WNBA,CHI,CHI,EA,,5,0,0,,,,Chicago Sky,899,2100,564,812,110,341,357,770,1127,548,639,269,525,149,2472,917,2203,506,655,170,508,366,794,1160,531,681,255,522,124,2510,0,0,0,0,0,0,12,22,34,8,9,4,13,10,10,6875,62146,UIC Pavilion,0.0,0.0,0,-18,-103,58,157,-60,-167,-9,-24,-33,17,-42,14,3,25,-38,0,0,0,-10,-1,-9,0,0.0,-24.666666666666668,-57.333333333333336,34.666666666666664,131.66666666666666,-39.333333333333336,-90.33333333333333,-4.666666666666667,-37.333333333333336,-42.0,15.666666666666666,-44.333333333333336,16.0,-16.666666666666668,8.0,-54.0,0.0,0.0,0.0,-8.666666666666666,-2.3333333333333335,-6.333333333333333,-2.6666666666666665,0.0,0.0
10,WNBA,CHI,CHI,EA,,5,0,0,,,,Chicago Sky,930,2136,527,693,186,471,307,776,1083,532,605,249,532,138,2573,1004,2269,479,613,206,593,359,797,1156,610,636,273,489,121,2693,0,0,0,0,0,0,16,18,34,12,5,4,13,10,12,6825,66852,UIC Pavilion,0.0,0.0,0,-74,-133,48,80,-20,-122,-52,-21,-73,-78,-31,-24,43,17,-120,0,0,0,-2,7,-9,-2,0.0,-55.333333333333336,-123.0,51.333333333333336,105.66666666666667,-33.333333333333336,-137.0,-37.666666666666664,-22.0,-59.666666666666664,-46.333333333333336,-34.666666666666664,-11.333333333333334,29.666666666666668,19.666666666666668,-92.66666666666667,0.0,0.0,0.0,-4.666666666666667,4.333333333333333,-9.0,-1.3333333333333333,0.0,
1,WNBA,CLE,CLE,EA,,2,1,0,W,L,,Cleveland Rockers,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,0,0,0,0,0,0,17,15,32,13,3,4,12,13,8,6500,137532,Quicken Loans Arena,3.0,3.0,1,35,67,-29,-13,22,39,54,7,61,-1,-46,-46,-14,-4,63,0,0,0,2,10,-8,5,0.0,35.0,67.0,-29.0,-13.0,22.0,39.0,54.0,7.0,61.0,-1.0,-46.0,-46.0,-14.0,-4.0,63.0,0.0,0.0,0.0,2.0,10.0,-8.0,5.0,0.0,1.0
2,WNBA,CLE,CLE,EA,,1,1,0,L,,,Cleveland Rockers,763,1770,372,505,106,335,297,662,959,503,532,267,444,83,2004,664,1745,328,444,132,417,297,594,891,434,597,225,496,127,1788,0,0,0,0,0,0,22,10,32,14,2,8,8,15,6,6425,147373,Quicken Loans Arena,1.0,2.0,1,99,25,44,61,-26,-82,0,68,68,69,-65,42,-52,-44,216,0,0,0,12,12,0,9,-1.0,77.66666666666667,39.0,19.666666666666668,36.333333333333336,-10.0,-41.666666666666664,18.0,47.666666666666664,65.66666666666667,45.666666666666664,-58.666666666666664,12.666666666666666,-39.333333333333336,-30.666666666666668,165.0,0.0,0.0,0.0,8.666666666666666,11.333333333333334,-2.6666666666666665,7.666666666666667,-0.6666666666666666,0.0
3,WNBA,CLE,CLE,EA,,7,0,0,,,,Cleveland Rockers,760,1820,430,553,121,374,295,674,969,480,567,221,451,83,2071,797,1834,397,521,149,441,278,640,918,530,613,242,428,109,2140,0,0,0,0,0,0,10,22,32,4,12,6,10,7,14,6550,149084,Quicken Loans Arena,0.0,0.0,0,-37,-14,33,32,-28,-67,17,34,51,-50,-46,-21,23,-26,-69,0,0,0,-12,-8,-4,-7,0.0,8.333333333333334,-1.0,36.666666666666664,41.666666666666664,-27.333333333333332,-72.0,11.333333333333334,45.333333333333336,56.666666666666664,-10.333333333333334,-52.333333333333336,0.0,-2.0,-32.0,26.0,0.0,0.0,0.0,-4.0,-1.3333333333333333,-2.6666666666666665,-1.6666666666666667,-0.3333333333333333,1.0
4,WNBA,CLE,CLE,EA,,4,1,0,L,,,Cleveland Rockers,815,1975,464,643,135,425,349,720,1069,517,639,226,466,86,2229,809,1927,465,607,127,355,300,704,1004,510,659,223,467,135,2210,0,0,0,0,0,0,17,17,34,11,6,6,11,13,11,6825,125793,Quicken Loans Arena,1.0,2.0,0,6,48,-1,36,8,70,49,16,65,7,-20,3,-1,-49,19,0,0,0,0,5,-5,2,-1.0,-8.333333333333334,27.333333333333332,10.333333333333334,34.666666666666664,-4.0,24.333333333333332,38.333333333333336,22.0,60.333333333333336,-12.0,-28.666666666666668,-5.0,7.0,-41.333333333333336,-10.333333333333334,0.0,0.0,0.0,-4.0,0.6666666666666666,-4.666666666666667,-1.0,-0.6666666666666666,
4,WNBA,CON,CON,EA,,3,1,0,W,L,,Connecticut Sun,864,2102,479,646,177,549,333,762,1095,520,663,270,434,111,2384,864,2104,509,673,172,536,366,812,1178,553,669,252,476,88,2409,0,0,0,0,0,0,18,16,34,10,7,8,9,11,13,6875,102433,Mohegan Sun Arena,2.0,2.0,0,0,-2,-30,-27,5,13,-33,-50,-83,-33,-6,18,-42,23,-25,0,0,0,2,3,-1,-2,0.0,0.0,-2.0,-30.0,-27.0,5.0,13.0,-33.0,-50.0,-83.0,-33.0,-6.0,18.0,-42.0,23.0,-25.0,0.0,0.0,0.0,2.0,3.0,-1.0,-2.0,0.0,1.0
5,WNBA,CON,CON,EA,,1,1,0,W,W,L,Connecticut Sun,876,2051,434,590,149,467,321,724,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,306,757,1063,565,627,239,492,113,2304,0,0,0,0,0,0,18,16,34,10,7,8,9,14,6,6900,114017,Mohegan Sun Arena,5.0,3.0,1,18,55,-9,-9,4,83,15,-33,-18,7,-17,60,-30,-17,31,0,0,0,2,3,-1,8,2.0,12.0,36.0,-16.0,-15.0,4.333333333333333,59.666666666666664,-1.0,-38.666666666666664,-39.666666666666664,-6.333333333333333,-13.333333333333334,46.0,-34.0,-3.6666666666666665,12.333333333333334,0.0,0.0,0.0,2.0,3.0,-1.0,4.666666666666667,1.3333333333333333,1.0
6,WNBA,CON,CON,EA,,1,1,0,W,W,W,Connecticut Sun,916,2025,512,688,130,373,322,788,1110,573,624,236,452,130,2474,835,2100,452,599,122,400,350,728,1078,495,675,258,442,79,2244,0,0,0,0,0,0,26,8,34,14,3,12,5,13,7,6800,121944,Mohegan Sun Arena,5.0,3.0,1,81,-75,60,89,8,-27,-28,60,32,78,-51,-22,10,51,230,0,0,0,18,11,7,6,2.0,60.0,-31.666666666666668,37.0,56.333333333333336,6.666666666666667,9.666666666666666,-13.666666666666666,29.0,15.333333333333334,54.333333333333336,-39.666666666666664,5.333333333333333,-3.3333333333333335,28.333333333333332,163.66666666666666,0.0,0.0,0.0,12.666666666666666,8.333333333333334,4.333333333333333,6.666666666666667,2.0,1.0
7,WNBA,CON,CON,EA,,1,1,0,W,L,,Connecticut Sun,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,0,0,0,0,0,0,26,8,34,14,3,12,5,15,5,6825,126096,Mohegan Sun Arena,3.0,2.0,2,34,-141,187,175,11,2,-28,143,115,102,-116,-21,28,50,266,0,0,0,18,11,7,10,1.0,49.666666666666664,-119.0,144.66666666666666,146.33333333333334,10.0,-7.666666666666667,-28.0,115.33333333333333,87.33333333333333,94.0,-94.33333333333333,-21.333333333333332,22.0,50.333333333333336,254.0,0.0,0.0,0.0,18.0,11.0,7.0,8.666666666666666,1.3333333333333333,1.0
8,WNBA,CON,CON,EA,,3,1,0,L,,,Connecticut Sun,1001,2327,478,615,195,572,354,868,1222,619,641,272,540,156,2675,976,2317,475,626,166,485,337,842,1179,581,633,246,524,85,2593,0,0,0,0,0,0,18,16,34,8,9,10,7,10,10,6925,135490,Mohegan Sun Arena,1.0,2.0,0,25,10,3,-11,29,87,17,26,43,38,8,26,16,71,82,0,0,0,2,-1,3,0,-1.0,28.0,-40.333333333333336,64.33333333333333,51.0,23.0,58.666666666666664,2.0,65.0,67.0,59.333333333333336,-33.333333333333336,10.333333333333334,20.0,64.0,143.33333333333334,0.0,0.0,0.0,7.333333333333333,3.0,4.333333333333333,3.3333333333333335,-0.3333333333333333,1.0
9,WNBA,CON,CON,EA,,2,1,0,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,1239,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,1200,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951,Mohegan Sun Arena,1.0,2.0,1,10,2,67,85,62,173,10,29,39,53,-74,-41,-12,-7,149,0,0,0,8,9,-1,6,-1.0,15.0,4.666666666666667,45.666666666666664,53.0,51.0,144.33333333333334,12.333333333333334,28.0,40.333333333333336,48.0,-46.666666666666664,-18.666666666666668,-2.6666666666666665,19.0,126.66666666666667,0.0,0.0,0.0,6.0,5.666666666666667,0.3333333333333333,4.0,-1.0,0.0
10,WNBA,CON,CON,EA,,6,0,0,,,,Connecticut Sun,966,2381,517,692,202,639,358,826,1184,608,677,250,453,130,2651,953,2236,591,746,157,488,329,945,1274,525,684,248,549,125,2654,0,0,0,0,0,0,16,18,34,12,5,4,13,10,12,6975,115496,Mohegan Sun Arena,0.0,0.0,0,13,145,-74,-54,45,151,29,-119,-90,83,-7,2,-96,5,-3,0,0,0,-2,7,-9,-2,0.0,12.0,97.33333333333333,-27.0,-7.666666666666667,50.666666666666664,158.33333333333334,22.666666666666668,-69.66666666666667,-47.0,73.0,-29.333333333333332,-12.333333333333334,-68.0,1.0,47.666666666666664,0.0,0.0,0.0,1.3333333333333333,7.666666666666667,-6.333333333333333,0.6666666666666666,-0.3333333333333333,
1,WNBA,DET,DET,EA,,5,0,0,,,,Detroit Shock,868,1980,519,699,76,273,341,644,985,503,701,260,530,88,2331,905,1967,480,652,136,372,331,640,971,513,672,284,543,148,2426,0,0,0,0,0,0,14,18,32,8,8,6,10,10,11,6425,107289,The Palace of Auburn Hills,0.0,0.0,0,-37,13,39,47,-60,-99,10,4,14,-10,29,-24,-13,-60,-95,0,0,0,-4,0,-4,-1,0.0,-37.0,13.0,39.0,47.0,-60.0,-99.0,10.0,4.0,14.0,-10.0,29.0,-24.0,-13.0,-60.0,-95.0,0.0,0.0,0.0,-4.0,0.0,-4.0,-1.0,0.0,0.0
2,WNBA,DET,DET,EA,,7,0,0,,,,Detroit Shock,774,1914,412,542,143,405,324,621,945,469,602,225,498,82,2103,848,1837,446,583,127,340,279,702,981,438,591,262,483,109,2269,0,0,0,0,0,0,10,22,32,6,10,4,12,7,14,6550,109348,The Palace of Auburn Hills,0.0,0.0,0,-74,77,-34,-41,16,65,45,-81,-36,31,11,-37,15,-27,-166,0,0,0,-12,-4,-8,-7,0.0,-61.666666666666664,55.666666666666664,-9.666666666666666,-11.666666666666666,-9.333333333333334,10.333333333333334,33.333333333333336,-52.666666666666664,-19.333333333333332,17.333333333333332,17.0,-32.666666666666664,5.666666666666667,-38.0,-142.33333333333334,0.0,0.0,0.0,-9.333333333333334,-2.6666666666666665,-6.666666666666667,-5.0,0.0,0.0
3,WNBA,DET,DET,EA,,8,0,0,,,,Detroit Shock,766,1919,472,651,110,364,360,719,1079,478,609,201,541,132,2114,828,1984,464,605,146,447,314,669,983,465,637,277,443,139,2266,0,0,0,0,0,0,9,23,32,7,9,2,14,6,15,6450,94171,The Palace of Auburn Hills,0.0,0.0,0,-62,-65,8,46,-36,-83,46,50,96,13,-28,-76,98,-7,-152,0,0,0,-14,-2,-12,-9,0.0,-66.0,-17.666666666666668,-6.0,17.0,-18.666666666666668,-33.666666666666664,45.666666666666664,6.333333333333333,52.0,19.0,-15.0,-63.0,70.33333333333333,-13.666666666666666,-156.66666666666666,0.0,0.0,0.0,-13.333333333333334,-2.6666666666666665,-10.666666666666666,-8.333333333333334,0.0,1.0
4,WNBA,DET,DET,EA,,1,1,0,W,W,W,Detroit Shock,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,0,0,0,0,0,0,25,9,34,13,4,12,5,18,6,6900,133647,The Palace of Auburn Hills,6.0,2.0,3,-9,-282,212,326,-36,-218,-11,177,166,41,-169,-46,111,29,158,0,0,0,16,9,7,12,4.0,-26.666666666666668,-209.66666666666666,144.0,232.66666666666666,-36.0,-173.0,8.0,134.66666666666666,142.66666666666666,31.666666666666668,-122.0,-56.0,106.66666666666667,17.0,54.666666666666664,0.0,0.0,0.0,6.0,5.333333333333333,0.6666666666666666,5.0,2.6666666666666665,1.0
5,WNBA,DET,DET,EA,,3,1,0,L,,,Detroit Shock,874,2097,556,792,62,209,397,773,1170,564,648,277,513,148,2366,860,2098,470,609,191,533,325,730,1055,515,728,289,496,131,2381,0,0,0,0,0,0,17,17,34,8,9,9,8,11,9,6850,160860,The Palace of Auburn Hills,1.0,2.0,0,14,-1,86,183,-129,-324,72,43,115,49,-80,-12,17,17,-15,0,0,0,0,-1,1,2,-1.0,6.333333333333333,-94.66666666666667,128.0,230.66666666666666,-98.0,-288.6666666666667,44.333333333333336,87.66666666666667,132.0,46.333333333333336,-109.66666666666667,-23.333333333333332,48.333333333333336,21.0,42.666666666666664,0.0,0.0,0.0,5.333333333333333,2.3333333333333335,3.0,5.333333333333333,0.6666666666666666,1.0
6,WNBA,DET,DET,EA,,4,1,0,L,,,Detroit Shock,831,2060,509,774,76,238,412,803,1215,474,761,241,571,155,2247,784,1945,565,754,154,456,273,745,1018,473,744,272,520,136,2287,0,0,0,0,0,0,16,18,34,12,5,4,13,11,9,6925,159356,The Palace of Auburn Hills,0.0,2.0,0,47,115,-56,20,-78,-218,139,58,197,1,17,-31,51,19,-40,0,0,0,-2,7,-9,2,-2.0,36.0,76.33333333333333,-8.666666666666666,74.33333333333333,-95.0,-253.33333333333334,116.66666666666667,53.0,169.66666666666666,17.0,-15.333333333333334,-24.666666666666668,39.666666666666664,18.333333333333332,-31.666666666666668,0.0,0.0,0.0,-1.3333333333333333,4.333333333333333,-5.666666666666667,2.0,-1.6666666666666667,1.0
7,WNBA,DET,DET,EA,,2,1,0,W,W,W,Detroit Shock,919,2220,553,746,136,414,406,880,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,324,760,1084,474,733,275,506,108,2384,0,0,0,0,0,0,23,11,34,14,3,9,8,14,6,6825,159453,The Palace of Auburn Hills,7.0,3.0,2,79,55,24,44,-39,-147,82,120,202,98,-22,-62,31,29,143,0,0,0,12,11,1,8,4.0,68.33333333333333,75.0,-2.6666666666666665,36.0,-52.0,-170.66666666666666,101.0,99.33333333333333,200.33333333333334,65.66666666666667,-9.0,-51.666666666666664,37.666666666666664,25.666666666666668,82.0,0.0,0.0,0.0,7.333333333333333,9.666666666666666,-2.3333333333333335,6.0,2.0,1.0
8,WNBA,DET,DET,EA,,1,1,0,W,W,L,Detroit Shock,972,2261,595,785,158,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,0,0,0,0,0,0,24,10,34,12,5,12,5,14,6,6850,165738,The Palace of Auburn Hills,6.0,5.0,2,77,-1,48,67,-45,-168,71,151,222,17,-65,-49,35,0,157,0,0,0,14,7,7,8,1.0,77.66666666666667,17.666666666666668,40.0,59.333333333333336,-43.0,-161.0,74.66666666666667,140.66666666666666,215.33333333333334,44.0,-50.666666666666664,-53.333333333333336,33.666666666666664,9.666666666666666,152.33333333333334,0.0,0.0,0.0,13.333333333333334,8.333333333333334,5.0,8.0,2.0,1.0
9,WNBA,DET,DET,EA,,1,1,0,W,W,W,Detroit Shock,974,2295,556,744,168,476,405,843,1248,604,724,278,496,118,2672,872,2151,563,740,215,616,324,761,1085,520,762,229,572,119,2522,0,0,0,0,0,0,22,12,34,14,3,8,9,16,4,6875,162669,The Palace of Auburn Hills,7.0,2.0,1,102,144,-7,4,-47,-140,81,82,163,84,-38,49,-76,-1,150,0,0,0,10,11,-1,12,5.0,93.66666666666667,95.66666666666667,11.333333333333334,25.0,-46.333333333333336,-149.33333333333334,77.66666666666667,105.0,182.66666666666666,61.666666666666664,-47.0,16.333333333333332,-39.0,-0.6666666666666666,152.33333333333334,0.0,0.0,0.0,11.333333333333334,9.666666666666666,1.6666666666666667,10.666666666666666,3.6666666666666665,1.0
10,WNBA,DET,DET,EA,,3,1,0,W,L,,Detroit Shock,980,2277,539,721,153,436,373,853,1226,575,766,261,546,97,2652,902,2201,632,813,208,611,320,781,1101,524,716,279,531,110,2644,0,0,0,0,0,0,18,16,34,11,6,7,10,11,11,6975,136069,The Palace of Auburn Hills,3.0,2.0,0,78,76,-93,-92,-55,-175,53,72,125,51,50,-18,15,-13,8,0,0,0,2,5,-3,0,1.0,86.0,98.66666666666667,-64.33333333333333,-60.0,-52.333333333333336,-163.33333333333334,62.333333333333336,75.33333333333333,137.66666666666666,62.0,20.666666666666668,4.333333333333333,-15.333333333333334,-9.0,55.333333333333336,0.0,0.0,0.0,4.666666666666667,7.0,-2.3333333333333335,4.0,2.3333333333333335,
